robot_name,world_name,random_success_rate,random_collision_failure_count,random_retry_count,random_recovery_rate,random_perturbation_rate,random_execution_time_s,n_x,paired_success_rate,paired_collision_failure_count,paired_retry_count,paired_recovery_rate,paired_perturbation_rate,paired_execution_time_s,n_y,delta_success_rate,delta_collision_failure_count,delta_retry_count,delta_recovery_rate,delta_perturbation_rate,delta_execution_time_s
armar7,apartment,0.31868131868131866,0.6813186813186813,0.0,0.6813186813186813,0.0,57.34950659340659,91,0.35,4.45,3.85,0.9,0.85,49.433805,20,0.03131868131868132,3.7686813186813186,3.85,0.21868131868131868,0.85,-7.915701593406588
armar7,isr,0.29545454545454547,0.7045454545454546,0.0,0.7348484848484849,0.0,28.629838636363637,132,0.32926829268292684,4.634146341463414,3.9878048780487805,0.8780487804878049,0.8536585365853658,49.58486341463414,82,0.033813747228381374,3.9296008869179597,3.9878048780487805,0.14320029563932002,0.8536585365853658,20.955024778270506
armar7,kitchen,0.2,0.8,0.0,0.8,0.0,33.51882833333333,120,0.15476190476190477,4.869047619047619,4.142857142857143,0.8928571428571429,0.8571428571428571,58.11815357142857,84,-0.045238095238095244,4.069047619047619,4.142857142857143,0.09285714285714286,0.8571428571428571,24.59932523809524
hsrb,apartment,0.32098765432098764,0.3333333333333333,0.0,0.3333333333333333,0.0,9.498899999999999,81,0.5,1.85,1.35,0.75,0.75,13.075040000000001,20,0.17901234567901236,1.5166666666666668,1.35,0.4166666666666667,0.75,3.5761400000000023
hsrb,isr,0.3984375,0.1640625,0.0,0.1875,0.0,6.02480859375,128,0.34146341463414637,2.182926829268293,1.524390243902439,0.8170731707317073,0.8170731707317073,12.141415853658536,82,-0.05697408536585363,2.018864329268293,1.524390243902439,0.6295731707317073,0.8170731707317073,6.116607259908536
hsrb,kitchen,0.20454545454545456,0.16666666666666666,0.0,0.16666666666666666,0.0,6.810142424242424,132,0.0,2.9642857142857144,1.9761904761904763,0.9880952380952381,0.9880952380952381,14.851661904761906,84,-0.20454545454545456,2.797619047619048,1.9761904761904763,0.8214285714285715,0.9880952380952381,8.041519480519483
pr2,apartment,0.9753086419753086,0.024691358024691357,0.0,0.07407407407407407,0.0,59.83634074074074,81,0.85,1.1,0.95,0.3,0.2,35.721805,20,-0.12530864197530867,1.0753086419753086,0.95,0.22592592592592592,0.2,-24.114535740740735
pr2,isr,0.6408450704225352,0.3591549295774648,0.0,0.3732394366197183,0.0,30.439921830985913,142,0.5365853658536586,3.292682926829268,2.841463414634146,0.6829268292682927,0.6585365853658537,40.75784756097561,82,-0.10425970456887668,2.933527997251803,2.841463414634146,0.3096873926485744,0.6585365853658537,10.3179257299897
pr2,kitchen,0.6821705426356589,0.3178294573643411,0.0,0.34108527131782945,0.0,28.801095348837208,129,0.5714285714285714,2.6785714285714284,2.2976190476190474,0.5238095238095238,0.5,41.5110369047619,84,-0.11074197120708751,2.360741971207087,2.2976190476190474,0.18272425249169438,0.5,12.709941555924694
rollin_justin,apartment,0.9789473684210527,0.021052631578947368,0.0,0.06315789473684211,0.0,68.31969789473683,95,0.7,2.05,1.75,0.4,0.35,40.438755,20,-0.2789473684210527,2.0289473684210524,1.75,0.33684210526315794,0.35,-27.880942894736833
rollin_justin,isr,0.7307692307692307,0.26153846153846155,0.0,0.35384615384615387,0.0,32.977625384615386,130,0.7073170731707317,2.3292682926829267,2.3048780487804876,0.5975609756097561,0.5487804878048781,40.16426951219512,82,-0.023452157598499057,2.067729831144465,2.3048780487804876,0.2437148217636022,0.5487804878048781,7.186644127579733
rollin_justin,kitchen,0.7049180327868853,0.27049180327868855,0.0,0.3114754098360656,0.0,31.868629508196722,122,0.5476190476190477,1.9166666666666667,1.7142857142857142,0.42857142857142855,0.39285714285714285,39.08535714285714,84,-0.15729898516783758,1.6461748633879782,1.7142857142857142,0.11709601873536296,0.39285714285714285,7.216727634660419
stretch,apartment,0.27058823529411763,0.3764705882352941,0.0,0.38823529411764707,0.0,17.78987411764706,85,0.25,2.35,1.6,0.8,0.8,18.086725,20,-0.02058823529411763,1.973529411764706,1.6,0.411764705882353,0.8,0.2968508823529419
stretch,isr,0.30708661417322836,0.1889763779527559,0.0,0.2047244094488189,0.0,10.46298188976378,127,0.10975609756097561,2.731707317073171,1.8414634146341464,0.9390243902439024,0.9390243902439024,17.439020731707316,82,-0.19733051661225276,2.542730939120415,1.8414634146341464,0.7342999807950835,0.9390243902439024,6.976038841943536
stretch,kitchen,0.25862068965517243,0.10344827586206896,0.0,0.10344827586206896,0.0,11.741772413793102,116,0.20238095238095238,2.511904761904762,1.7142857142857142,0.8809523809523809,0.8809523809523809,20.065908333333333,84,-0.05623973727422005,2.408456486042693,1.7142857142857142,0.777504105090312,0.8809523809523809,8.32413591954023
tiago,apartment,0.7032967032967034,0.2967032967032967,0.0,0.34065934065934067,0.0,46.455317582417585,91,0.6,2.6,2.2,0.45,0.45,31.940890000000003,20,-0.10329670329670337,2.3032967032967036,2.2,0.10934065934065934,0.45,-14.514427582417582
tiago,isr,0.5072463768115942,0.4782608695652174,0.0,0.5579710144927537,0.0,26.837119565217392,138,0.43902439024390244,4.036585365853658,3.475609756097561,0.8170731707317073,0.7682926829268293,41.399635365853655,82,-0.0682219865676918,3.558324496288441,3.475609756097561,0.2591021562389536,0.7682926829268293,14.562515800636262
tiago,kitchen,0.30337078651685395,0.5842696629213483,0.15168539325842698,0.5561797752808989,0.0,23.63153033707865,178,0.39285714285714285,3.9761904761904763,3.380952380952381,0.7380952380952381,0.7261904761904762,46.549413095238094,84,0.0894863563402889,3.391920813269128,3.229266987693954,0.18191546281433923,0.7261904761904762,22.917882758159443
unitree_g1,apartment,0.5952380952380952,0.40476190476190477,0.0,0.47619047619047616,0.0,88.66045595238094,84,0.7,2.2,1.9,0.55,0.45,35.155375,20,0.10476190476190472,1.7952380952380955,1.9,0.07380952380952388,0.45,-53.50508095238094
unitree_g1,isr,0.5538461538461539,0.4461538461538462,0.0,0.5153846153846153,0.0,29.03991076923077,130,0.4878048780487805,3.841463414634146,3.3292682926829267,0.8170731707317073,0.7560975609756098,42.41963536585366,82,-0.0660412757973734,3.3953095684803,3.3292682926829267,0.30168855534709194,0.7560975609756098,13.37972459662289
unitree_g1,kitchen,0.46534653465346537,0.5346534653465347,0.0,0.6534653465346535,0.0,32.304674257425745,101,0.4523809523809524,4.035714285714286,3.488095238095238,0.8095238095238095,0.7619047619047619,51.76045595238096,84,-0.012965582272512988,3.501060820367751,3.488095238095238,0.15605846298915604,0.7619047619047619,19.455781694955213
