source_robot,target_robot,causal_estimand,paired_ate,instances,source_success_rate,target_success_rate,target_better_count,source_better_count,same_outcome_count
armar7,hsrb,E[Y(do(hsrb)) - Y(do(armar7))],-0.04838709677419355,186,0.25268817204301075,0.20430107526881722,14,23,149
armar7,pr2,E[Y(do(pr2)) - Y(do(armar7))],0.3333333333333333,186,0.25268817204301075,0.5860215053763441,64,2,120
armar7,rollin_justin,E[Y(do(rollin_justin)) - Y(do(armar7))],0.3817204301075269,186,0.25268817204301075,0.6344086021505376,77,6,103
armar7,stretch,E[Y(do(stretch)) - Y(do(armar7))],-0.08602150537634409,186,0.25268817204301075,0.16666666666666666,25,41,120
armar7,tiago,E[Y(do(tiago)) - Y(do(armar7))],0.1827956989247312,186,0.25268817204301075,0.43548387096774194,43,9,134
armar7,unitree_g1,E[Y(do(unitree_g1)) - Y(do(armar7))],0.24193548387096775,186,0.25268817204301075,0.4946236559139785,51,6,129
hsrb,armar7,E[Y(do(armar7)) - Y(do(hsrb))],0.04838709677419355,186,0.20430107526881722,0.25268817204301075,23,14,149
hsrb,pr2,E[Y(do(pr2)) - Y(do(hsrb))],0.3817204301075269,186,0.20430107526881722,0.5860215053763441,74,3,109
hsrb,rollin_justin,E[Y(do(rollin_justin)) - Y(do(hsrb))],0.43010752688172044,186,0.20430107526881722,0.6344086021505376,81,1,104
hsrb,stretch,E[Y(do(stretch)) - Y(do(hsrb))],-0.03763440860215054,186,0.20430107526881722,0.16666666666666666,24,31,131
hsrb,tiago,E[Y(do(tiago)) - Y(do(hsrb))],0.23118279569892472,186,0.20430107526881722,0.43548387096774194,44,1,141
hsrb,unitree_g1,E[Y(do(unitree_g1)) - Y(do(hsrb))],0.2903225806451613,186,0.20430107526881722,0.4946236559139785,56,2,128
pr2,armar7,E[Y(do(armar7)) - Y(do(pr2))],-0.3333333333333333,186,0.5860215053763441,0.25268817204301075,2,64,120
pr2,hsrb,E[Y(do(hsrb)) - Y(do(pr2))],-0.3817204301075269,186,0.5860215053763441,0.20430107526881722,3,74,109
pr2,rollin_justin,E[Y(do(rollin_justin)) - Y(do(pr2))],0.04838709677419355,186,0.5860215053763441,0.6344086021505376,31,22,133
pr2,stretch,E[Y(do(stretch)) - Y(do(pr2))],-0.41935483870967744,186,0.5860215053763441,0.16666666666666666,6,84,96
pr2,tiago,E[Y(do(tiago)) - Y(do(pr2))],-0.15053763440860216,186,0.5860215053763441,0.43548387096774194,11,39,136
pr2,unitree_g1,E[Y(do(unitree_g1)) - Y(do(pr2))],-0.0913978494623656,186,0.5860215053763441,0.4946236559139785,11,28,147
rollin_justin,armar7,E[Y(do(armar7)) - Y(do(rollin_justin))],-0.3817204301075269,186,0.6344086021505376,0.25268817204301075,6,77,103
rollin_justin,hsrb,E[Y(do(hsrb)) - Y(do(rollin_justin))],-0.43010752688172044,186,0.6344086021505376,0.20430107526881722,1,81,104
rollin_justin,pr2,E[Y(do(pr2)) - Y(do(rollin_justin))],-0.04838709677419355,186,0.6344086021505376,0.5860215053763441,22,31,133
rollin_justin,stretch,E[Y(do(stretch)) - Y(do(rollin_justin))],-0.46774193548387094,186,0.6344086021505376,0.16666666666666666,12,99,75
rollin_justin,tiago,E[Y(do(tiago)) - Y(do(rollin_justin))],-0.1989247311827957,186,0.6344086021505376,0.43548387096774194,13,50,123
rollin_justin,unitree_g1,E[Y(do(unitree_g1)) - Y(do(rollin_justin))],-0.13978494623655913,186,0.6344086021505376,0.4946236559139785,13,39,134
stretch,armar7,E[Y(do(armar7)) - Y(do(stretch))],0.08602150537634409,186,0.16666666666666666,0.25268817204301075,41,25,120
stretch,hsrb,E[Y(do(hsrb)) - Y(do(stretch))],0.03763440860215054,186,0.16666666666666666,0.20430107526881722,31,24,131
stretch,pr2,E[Y(do(pr2)) - Y(do(stretch))],0.41935483870967744,186,0.16666666666666666,0.5860215053763441,84,6,96
stretch,rollin_justin,E[Y(do(rollin_justin)) - Y(do(stretch))],0.46774193548387094,186,0.16666666666666666,0.6344086021505376,99,12,75
stretch,tiago,E[Y(do(tiago)) - Y(do(stretch))],0.26881720430107525,186,0.16666666666666666,0.43548387096774194,62,12,112
stretch,unitree_g1,E[Y(do(unitree_g1)) - Y(do(stretch))],0.3279569892473118,186,0.16666666666666666,0.4946236559139785,72,11,103
tiago,armar7,E[Y(do(armar7)) - Y(do(tiago))],-0.1827956989247312,186,0.43548387096774194,0.25268817204301075,9,43,134
tiago,hsrb,E[Y(do(hsrb)) - Y(do(tiago))],-0.23118279569892472,186,0.43548387096774194,0.20430107526881722,1,44,141
tiago,pr2,E[Y(do(pr2)) - Y(do(tiago))],0.15053763440860216,186,0.43548387096774194,0.5860215053763441,39,11,136
tiago,rollin_justin,E[Y(do(rollin_justin)) - Y(do(tiago))],0.1989247311827957,186,0.43548387096774194,0.6344086021505376,50,13,123
tiago,stretch,E[Y(do(stretch)) - Y(do(tiago))],-0.26881720430107525,186,0.43548387096774194,0.16666666666666666,12,62,112
tiago,unitree_g1,E[Y(do(unitree_g1)) - Y(do(tiago))],0.05913978494623656,186,0.43548387096774194,0.4946236559139785,20,9,157
unitree_g1,armar7,E[Y(do(armar7)) - Y(do(unitree_g1))],-0.24193548387096775,186,0.4946236559139785,0.25268817204301075,6,51,129
unitree_g1,hsrb,E[Y(do(hsrb)) - Y(do(unitree_g1))],-0.2903225806451613,186,0.4946236559139785,0.20430107526881722,2,56,128
unitree_g1,pr2,E[Y(do(pr2)) - Y(do(unitree_g1))],0.0913978494623656,186,0.4946236559139785,0.5860215053763441,28,11,147
unitree_g1,rollin_justin,E[Y(do(rollin_justin)) - Y(do(unitree_g1))],0.13978494623655913,186,0.4946236559139785,0.6344086021505376,39,13,134
unitree_g1,stretch,E[Y(do(stretch)) - Y(do(unitree_g1))],-0.3279569892473118,186,0.4946236559139785,0.16666666666666666,11,72,103
unitree_g1,tiago,E[Y(do(tiago)) - Y(do(unitree_g1))],-0.05913978494623656,186,0.4946236559139785,0.43548387096774194,9,20,157
